Month,Bronx,Brooklyn,Manhattan,Queens,Staten Island
2020-01,7.492283967,7.210785112,5.990902687,8.932037064,14.00434305
2020-02,7.462431961,7.168470706,5.965961994,8.940546122,13.99858681
2020-03,7.747345052,7.514925475,6.355103714,9.387170921,14.24111619
2020-04,8.092438288,8.646482302,7.698462424,10.64062052,14.16473631
2020-05,8.200099225,8.523379082,7.63393825,10.79440455,14.5910152
2020-06,7.801340319,7.74498602,6.754334966,9.759515664,14.21944392
2020-07,7.739729898,7.524016187,6.433160259,9.426693126,14.26643872
2020-08,7.769789545,7.455054959,6.439745687,9.369435437,14.20408063
2020-09,7.701359708,7.513625111,6.414312785,9.429857899,14.1867727
2020-10,7.668074318,7.519483827,6.387202659,9.399459212,14.18704662
2020-11,7.706839533,7.576413076,6.454922423,9.491517018,14.26814204
2020-12,7.73824297,7.550901942,6.440620544,9.417602682,14.25094835
2021-01,7.866841284,7.702019464,6.508714528,9.592910668,14.51082565
2021-02,7.738468632,7.448725526,6.401604145,9.323031424,14.21398614
2021-03,7.708795394,7.543172171,6.429261023,9.411594699,14.39046583
2021-04,7.627279027,7.450465798,6.29591588,9.343636665,14.37230846
2021-05,7.616745585,7.440671358,6.299298468,9.267051412,14.24248345
2021-06,7.581568824,7.359245535,6.201956939,9.186268882,14.22166244
2021-07,7.660571504,7.420600329,6.260083819,9.20240325,14.31980295
2021-08,7.704933307,7.382062996,6.280593589,9.193305002,14.25844231
2021-09,7.45523604,7.183286367,6.104708864,8.87985392,13.84820676
2021-10,7.366143172,7.039775256,6.043273265,8.829547757,13.75183487
2021-11,7.425456509,7.14762108,6.100103346,8.965113772,14.01243268
2021-12,7.560904204,7.322658324,6.243792145,9.089722088,14.12416442
