RES,DEST,PWGTP,TOTAL,% DEST
Bronx,Other Boro,272263,578939,0.47027925221828204
Bronx,Region,59439,578939,0.10266884766788902
Bronx,Same Boro,247237,578939,0.42705190011382893
Brooklyn,Other Boro,566614,1197588,0.4731293232731123
Brooklyn,Region,45827,1197588,0.0382660814904625
Brooklyn,Same Boro,585147,1197588,0.4886045952364252
Manhattan,Other Boro,82262,890155,0.09241311906353387
Manhattan,Region,52425,890155,0.05889423752043183
Manhattan,Same Boro,755468,890155,0.8486926434160342
Queens,Other Boro,511291,1100981,0.4643958433433456
Queens,Region,115405,1100981,0.1048201558428347
Queens,Same Boro,474285,1100981,0.4307840008138197
Staten Island,Other Boro,91071,212758,0.4280497090591188
Staten Island,Region,16373,212758,0.07695597815358295
Staten Island,Same Boro,105314,212758,0.4949943127872982
