DEST,RES,TT,PWGTP,TOTAL,% TT
Same Borough,Bronx,30 to 59 Mins,82999,229401,0.36180748994119466
Same Borough,Bronx,60 to 89 Mins,33446,229401,0.145797097658685
Same Borough,Bronx,90 Mins or More,9064,229401,0.03951159759547691
Same Borough,Bronx,Less than 30 Mins,103892,229401,0.4528838148046434
Same Borough,Brooklyn,30 to 59 Mins,225878,530369,0.4258883909127419
Same Borough,Brooklyn,60 to 89 Mins,68532,530369,0.12921569699586513
Same Borough,Brooklyn,90 Mins or More,20779,530369,0.03917838335196816
Same Borough,Brooklyn,Less than 30 Mins,215180,530369,0.4057175287394248
Same Borough,Manhattan,30 to 59 Mins,305518,689578,0.4430506773707978
Same Borough,Manhattan,60 to 89 Mins,35917,689578,0.052085478365029046
Same Borough,Manhattan,90 Mins or More,8035,689578,0.011652053864827474
Same Borough,Manhattan,Less than 30 Mins,340108,689578,0.4932117903993457
Same Borough,Queens,30 to 59 Mins,169406,442140,0.38315013344189625
Same Borough,Queens,60 to 89 Mins,56276,442140,0.12728095173474466
Same Borough,Queens,90 Mins or More,22082,442140,0.04994345682363052
Same Borough,Queens,Less than 30 Mins,194376,442140,0.4396254579997286
Same Borough,Staten Island,30 to 59 Mins,25233,99139,0.25452142950806445
Same Borough,Staten Island,60 to 89 Mins,7386,99139,0.0745014575495012
Same Borough,Staten Island,90 Mins or More,3708,99139,0.0374020314911387
Same Borough,Staten Island,Less than 30 Mins,62812,99139,0.6335750814512957
Different Borough,Bronx,30 to 59 Mins,106785,272263,0.392212676713325
Different Borough,Bronx,60 to 89 Mins,104699,272263,0.38455096726327115
Different Borough,Bronx,90 Mins or More,39004,272263,0.1432585404553685
Different Borough,Bronx,Less than 30 Mins,21775,272263,0.07997781556803532
Different Borough,Brooklyn,30 to 59 Mins,308745,566426,0.54507561446685
Different Borough,Brooklyn,60 to 89 Mins,160530,566426,0.2834086005938993
Different Borough,Brooklyn,90 Mins or More,47907,566426,0.08457768534636476
Different Borough,Brooklyn,Less than 30 Mins,49244,566426,0.08693809959288593
Different Borough,Manhattan,30 to 59 Mins,43864,81779,0.5363724183470084
Different Borough,Manhattan,60 to 89 Mins,18538,81779,0.22668411205810782
Different Borough,Manhattan,90 Mins or More,6779,81779,0.08289414152777608
Different Borough,Manhattan,Less than 30 Mins,12598,81779,0.1540493280671077
Different Borough,Queens,30 to 59 Mins,245563,511116,0.480444752267587
Different Borough,Queens,60 to 89 Mins,158513,511116,0.3101311639627795
Different Borough,Queens,90 Mins or More,63447,511116,0.1241342474115465
Different Borough,Queens,Less than 30 Mins,43593,511116,0.08528983635808701
Different Borough,Staten Island,30 to 59 Mins,24101,91018,0.264793777055088
Different Borough,Staten Island,60 to 89 Mins,32434,91018,0.3563470961787778
Different Borough,Staten Island,90 Mins or More,26623,91018,0.29250258190687556
Different Borough,Staten Island,Less than 30 Mins,7860,91018,0.0863565448592586
Region,Bronx,30 to 59 Mins,23832,56955,0.4184356070582038
Region,Bronx,60 to 89 Mins,10700,56955,0.1878676147836011
Region,Bronx,90 Mins or More,6746,56955,0.11844438591870775
Region,Bronx,Less than 30 Mins,15677,56955,0.27525239223948733
Region,Brooklyn,30 to 59 Mins,11707,37981,0.30823306390037125
Region,Brooklyn,60 to 89 Mins,12676,37981,0.3337458202785603
Region,Brooklyn,90 Mins or More,9796,37981,0.25791843290066085
Region,Brooklyn,Less than 30 Mins,3802,37981,0.10010268292040757
Region,Manhattan,30 to 59 Mins,18416,43030,0.4279804787357657
Region,Manhattan,60 to 89 Mins,11497,43030,0.2671856844062282
Region,Manhattan,90 Mins or More,6929,43030,0.1610271903323263
Region,Manhattan,Less than 30 Mins,6188,43030,0.14380664652567976
Region,Queens,30 to 59 Mins,49346,109823,0.4493230015570509
Region,Queens,60 to 89 Mins,21998,109823,0.20030412572958306
Region,Queens,90 Mins or More,13470,109823,0.12265190351747812
Region,Queens,Less than 30 Mins,25009,109823,0.22772096919588794
Region,Staten Island,30 to 59 Mins,7775,15572,0.4992936039044439
Region,Staten Island,60 to 89 Mins,3522,15572,0.2261751862316979
Region,Staten Island,90 Mins or More,1304,15572,0.08374004623683534
Region,Staten Island,Less than 30 Mins,2971,15572,0.19079116362702286
