Landing,Ridership,Lat,Long
Astoria,18618,40.77172,-73.935714
Atlantic Ave BBP / Pier 6,25413,40.692315,-74.002073
Bay Ridge,7696,40.639858,-74.03813
Brooklyn Navy Yard,10188,40.701917,-73.973617
Corlears Hook,3376,40.710159,-73.979244
Dumbo BBP / Pier 1,0,40.70354,-73.995763
East 34th Street,98163,40.743912,-73.970731
East 90th St,30379,40.777475,-73.942172
Greenpoint,0,40.731365,-73.963617
Hunters Point South,20781,40.741838,-73.961322
Long Island City,21317,40.74842,-73.957725
North Williamsburg,37729,40.720838,-73.964902
Red Hook Atlantic Basin,5882,40.680957,-74.013358
Rockaway,17333,40.584228,-73.831596
Roosevelt Island,13391,40.756811,-73.952482
Battery Park City / Vesey St ,103880,40.715029,-74.017775
Midtown West W 39th St / Pier 79,174949,40.760282,-74.004088
St George,515504,40.644169,-74.072201
Soundview,17596,40.804202,-73.848703
South Williamsburg,14163,40.70857,-73.970169
Stuyvesant Cove,6864,40.731979,-73.972922
Sunset Park BAT,11773,40.646276,-74.026436
Wall St / Pier 11,136625,40.703052,-74.006057
Yankee Pier,4717,40.68664,-74.016482
Redhook / Ikea Shuttle,6129,40.670921,-74.013358
BMB Slip 5,132778,40.700973,-74.011677
Whitehall,506089,40.700532,-74.012991
