yearmonth,Astoria,Atlantic Ave,BMB Slip 5,Battery Park,Bay Ridge,Bayridge,Bayridge Brooklyn Army Terminal,Brooklyn Bridge Park Atlantic Avenue Pier 6,Brooklyn Navy Yard,Christopher Street,Corlears Hook,DUMBO,East 34th Street,East 90th Street,Fulton Ferry,Governors Island,Greenpoint,Hunters Point,Hunters Point South,Long Island City,North Williamsburg,Pier 11,Pier 16 South Street Seaport,Pier 17,Pier 6,Pier 79,Pier 83,Pier 84,Red Hook,Red Hook IKEA,Rockaway,Roosevelt Island,Schaeffer Landing,Soundview,South Williamsburg,Stuyvesant Cove,Sunset Park,Sunset Park Brooklyn Army Terminal (BAT),Total,World Financial Center,World Financial Center / BPT (Brookfield Place)
201301,0,0.0,0,3851.0,0,0,0,0,0,0.0,0,0,31870.0,0,5929.0,0.0,5207.0,2592.0,0,0,14063.0,221141.0,0,2363.0,0,260156.0,0,5348.0,0,0,0,0,2954.0,0,0,0,0,0,767631.0,212157.0,0
201302,0,0.0,0,2752.0,0,0,0,0,0,73.0,0,0,25679.0,0,5073.0,0.0,4311.0,2214.0,0,0,11456.0,179679.0,0,2130.0,0,210565.0,0,4532.0,0,0,0,0,2731.0,0,0,0,0,0,579182.0,127987.0,0
201303,0,0.0,0,7614.0,0,0,0,0,0,197.0,0,0,31798.0,0,10814.0,0.0,5616.0,3287.0,0,0,15649.0,208407.0,0,5376.0,0,270224.0,0,13371.0,0,0,0,0,4546.0,0,0,0,0,0,711379.0,134480.0,0
201304,0,0.0,0,9702.0,0,0,0,0,0,952.0,0,0,40830.0,0,19154.0,0.0,7965.0,4573.0,0,0,24719.0,236944.0,0,7444.0,0,324314.0,0,16581.0,0,0,0,0,5483.0,0,0,0,0,0,851956.0,153295.0,0
201305,0,0.0,0,12821.0,0,0,0,0,0,1322.0,0,0,47314.0,0,26438.0,968.0,9558.0,6534.0,0,0,29285.0,247440.0,0,8951.0,0,278767.0,0,19660.0,0,0,0,0,7719.0,0,0,0,0,0,859353.0,162576.0,0
201306,0,0.0,0,16373.0,0,0,0,0,0,3818.0,0,0,56547.0,0,32414.0,4980.0,10944.0,7748.0,0,0,34222.0,258298.0,0,11223.0,0,291653.0,0,22726.0,0,0,0,0,8674.0,0,0,0,0,0,913599.0,153979.0,0
201307,0,0.0,0,14111.0,0,0,0,0,0,9790.0,0,0,66214.0,0,31229.0,4117.0,11909.0,8224.0,0,0,31838.0,288992.0,0,13789.0,0,297274.0,0,20712.0,0,0,0,0,7866.0,0,0,0,0,0,969392.0,163327.0,0
201308,0,0.0,0,18669.0,0,0,0,0,0,6069.0,0,0,66362.0,0,37278.0,8166.0,13938.0,11656.0,0,0,37034.0,293783.0,0,12427.0,0,297571.0,0,22921.0,0,0,0,0,10996.0,0,0,0,0,0,994887.0,158017.0,0
201309,0,0.0,0,17893.0,0,0,0,0,0,3790.0,0,0,57695.0,0,34218.0,7959.0,12329.0,12130.0,0,0,34389.0,271882.0,0,10909.0,0,264474.0,0,17897.0,0,0,0,0,9627.0,0,0,0,0,0,894572.0,139380.0,0
201310,0,0.0,0,19703.0,0,0,0,0,0,2118.0,0,0,52932.0,0,25927.0,0.0,10812.0,10219.0,0,0,29600.0,263721.0,0,8472.0,0,305058.0,0,18087.0,0,0,0,0,7152.0,0,0,0,0,0,904256.0,150455.0,0
201311,0,0.0,0,10315.0,0,0,0,0,0,710.0,0,0,39270.0,0,11667.0,0.0,7039.0,6134.0,0,0,18722.0,209709.0,0,5749.0,0,253027.0,0,9585.0,0,0,0,0,4378.0,0,0,0,0,0,692060.0,115755.0,0
201312,0,0.0,0,12259.0,0,0,0,0,0,985.0,0,0,37819.0,0,7498.0,0.0,4945.0,4295.0,0,0,13209.0,202991.0,0,10460.0,0,271194.0,0,11806.0,0,0,0,0,3649.0,0,0,0,0,0,689136.0,108026.0,0
201401,0,0.0,0,5119.0,0,0,0,0,0,243.0,0,0,28537.0,0,5426.0,0.0,4588.0,4192.0,0,0,11984.0,204344.0,0,4749.0,0,228245.0,0,4048.0,0,0,0,0,3177.0,0,0,0,0,0,617401.0,112749.0,0
201402,0,0.0,0,4271.0,0,0,0,0,0,144.0,0,0,28118.0,0,6091.0,0.0,1931.0,4395.0,0,0,13214.0,189012.0,0,4776.0,0,200927.0,0,3044.0,0,0,0,0,3162.0,0,0,0,0,0,561757.0,102672.0,0
201403,0,0.0,0,5263.0,0,0,0,0,0,466.0,0,0,34655.0,0,9420.0,0.0,0.0,6690.0,0,0,18451.0,235450.0,0,0.0,0,256820.0,0,0,0,0,0,0,4353.0,0,0,0,0,0,696080.0,124512.0,0
201404,0,0.0,0,9364.0,0,0,0,0,0,1859.0,0,0,42411.0,0,21890.0,0.0,0.0,10096.0,0,0,28178.0,272631.0,0,0.0,0,312740.0,0,0,0,0,0,0,7358.0,0,0,0,0,0,833267.0,126740.0,0
201405,0,0.0,0,10070.0,0,0,0,0,0,1618.0,0,0,55257.0,0,28584.0,2365.0,0.0,12810.0,0,0,35264.0,281379.0,0,0.0,0,293216.185,0,0,0,0,0,0,8177.0,0,0,0,0,0,868598.185,139858.0,0
201406,0,0.0,0,7934.0,0,0,0,0,0,2359.0,0,0,64796.0,0,30276.0,6030.0,0.0,17162.0,0,0,37408.0,293679.0,0,0.0,0,311650.0,0,0,0,0,0,0,10779.0,0,0,0,0,0,934202.0,152129.0,0
201407,0,0.0,0,11333.0,0,0,0,0,0,2082.0,0,0,69262.0,0,31391.0,4081.0,2145.0,17540.0,0,0,36033.0,328642.0,0,0.0,0,326403.0,0,0,0,0,0,0,11001.0,0,0,0,0,0,1005410.0,165497.0,0
201408,0,0.0,0,11597.0,0,0,0,0,0,2364.0,0,0,73661.0,0,38461.0,6096.0,11930.0,19548.0,0,0,34124.0,319281.0,0,0.0,0,320381.0,0,0,0,0,0,0,10888.0,0,0,0,0,0,999365.0,151034.0,0
201409,0,0.0,0,5986.0,0,0,0,0,0,1562.0,0,0,61780.0,0,30780.0,3347.0,11208.0,16260.0,0,0,31288.0,295342.0,0,0.0,0,290908.0,0,0,0,0,0,0,8326.0,0,0,0,0,0,908604.0,151817.0,0
201410,0,0.0,0,0.0,0,0,0,0,0,1087.0,0,0,55217.0,0,26875.0,0.0,9727.0,14459.0,0,0,28819.0,297279.0,0,0.0,0,315487.0,0,0,0,0,0,0,9257.0,0,0,0,0,0,917257.0,159050.0,0
201411,0,0.0,0,2355.0,0,0,0,0,0,742.0,0,0,40353.0,0,11239.0,0.0,5958.0,9123.0,0,0,16574.0,212600.0,0,0.0,0,253250.0,0,0,0,0,0,0,4320.0,0,0,0,0,0,666794.0,110280.0,0
201412,0,0.0,0,4822.0,0,0,0,0,0,372.0,0,0,38789.0,0,7388.0,0.0,4903.0,6783.0,0,0,13179.0,221624.0,0,0.0,0,309720.0,0,0,0,0,0,0,3765.0,0,0,0,0,0,737678.0,126333.0,0
201501,0,0.0,0,1540.0,0,0,0,0,0,169.0,0,0,32723.0,0,5001.0,0.0,4068.0,5383.0,0,0,10642.0,206133.0,0,0.0,0,223271.0,0,0,0,0,0,0,3358.0,0,0,0,0,0,603373.0,111085.0,0
201502,0,0.0,0,728.0,0,0,0,0,0,228.0,0,0,22704.0,0,3485.0,0.0,3021.0,4266.0,0,0,8366.0,164023.0,0,0.0,0,195235.0,0,0,0,0,0,0,2717.0,0,0,0,0,0,500858.0,96085.0,0
201503,0,0.0,0,2415.0,0,0,0,0,0,227.0,0,0,34036.0,0,7994.0,0.0,5572.0,7317.0,0,0,14266.0,229026.0,0,0.0,0,243547.0,0,0,0,0,0,0,5489.0,0,0,0,0,0,673572.0,123683.0,0
201504,0,0.0,0,6372.0,0,0,0,0,0,959.0,0,0,50858.0,0,22969.0,0.0,8980.0,13210.0,0,0,27695.0,268200.0,0,0.0,0,318270.0,0,0,0,0,0,0,9201.0,0,0,0,0,0,873996.0,147282.0,0
201505,0,0.0,0,8171.0,0,0,0,0,0,1517.0,0,0,67425.0,0,37703.0,3039.0,13528.0,19295.0,0,0,42436.0,278967.0,0,0.0,0,296616.0,0,0,0,0,0,0,11739.0,0,0,0,0,0,947615.0,167179.0,0
201506,0,0.0,0,8729.0,0,0,0,0,0,1329.0,0,0,63650.0,0,28023.0,3355.0,12303.0,17616.0,0,0,31446.0,301557.0,0,0.0,0,331414.0,0,0,0,0,0,0,11173.0,0,0,0,0,0,995684.0,185089.0,0
201507,0,0.0,0,11805.0,0,0,0,0,0,3024.0,0,0,79939.0,0,33592.0,2755.0,13333.0,20543.0,0,0,35716.0,333041.0,0,0.0,0,325675.0,0,0,0,0,0,0,11778.0,0,0,0,0,0,1078780.0,207579.0,0
201508,0,0.0,0,12258.0,0,0,0,0,0,2117.0,0,0,85517.0,0,41616.0,5504.0,13743.0,23954.0,0,0,39654.0,331247.0,0,0.0,0,335848.0,0,0,0,0,0,0,13539.0,0,0,0,0,0,1104853.0,199856.0,0
201509,0,0.0,0,9704.0,0,0,0,0,0,1402.0,0,0,67837.0,0,34386.0,4358.0,14294.0,19837.0,0,0,35466.0,329304.0,0,0.0,0,303734.0,0,0,0,0,0,0,10778.0,0,0,0,0,0,1015195.0,184095.0,0
201510,0,0.0,0,8750.0,0,0,0,0,0,872.0,0,0,56287.0,0,24054.0,0.0,11336.0,13984.0,0,0,28215.0,285449.0,0,0.0,0,329352.0,0,0,0,0,0,0,8782.0,0,0,0,0,0,938769.0,171688.0,0
201511,0,0.0,0,7002.0,0,0,0,0,0,638.0,0,0,48973.0,0,13128.0,0.0,7724.0,10779.0,0,0,19857.0,244829.0,0,0.0,0,275754.0,0,0,0,0,0,0,6309.0,0,0,0,0,0,785786.0,150793.0,0
201512,0,0.0,0,9571.0,0,0,0,0,0,615.0,0,0,46609.0,0,9841.0,0.0,6879.0,8705.0,0,0,17071.0,246571.0,0,0.0,0,308026.0,0,0,0,0,0,0,5378.0,0,0,0,0,0,809797.0,150531.0,0
201601,0,0.0,0,4134.0,0,0,0,0,0,381.0,0,0,38539.0,0,6794.0,0.0,5728.0,7658.0,0,0,15194.0,221907.0,0,0.0,0,238048.0,0,0,0,0,0,0,4631.0,0,0,0,0,0,674520.0,131506.0,0
201602,0,0.0,0,3234.0,0,0,0,0,0,232.0,0,0,37764.0,0,7237.0,0.0,5496.0,7137.0,0,0,15155.0,224290.0,0,0.0,0,229277.0,0,0,0,0,0,0,4591.0,0,0,0,0,0,662850.0,128437.0,0
201603,0,0.0,0,7392.0,0,0,0,0,0,639.0,0,0,50540.0,0,15055.0,0.0,8410.0,11356.0,0,0,23239.0,270451.0,0,0.0,0,313327.0,0,0,0,0,0,0,6746.0,0,0,0,0,0,879357.0,172202.0,0
201604,0,0.0,0,9267.0,0,0,0,0,0,1144.0,0,0,56255.0,0,24035.0,0.0,10994.0,16368.0,0,0,28910.0,273625.0,0,0.0,0,297341.0,0,0,0,0,0,0,9699.0,0,0,0,0,0,894748.0,167110.0,0
201605,0,0.0,0,9087.0,0,0,0,0,0,1472.0,0,0,66533.0,0,33735.0,1731.0,12969.0,19878.0,0,0,34910.0,289762.0,0,0.0,0,290098.0,0,0,0,0,0,0,10432.0,0,0,0,0,0,959545.0,188938.0,0
201606,0,0.0,0,10621.0,0,0,0,0,0,2053.0,0,0,78455.0,0,35169.0,3868.0,14332.0,22883.0,0,0,37764.0,327730.0,0,0.0,0,328575.0,0,0,0,0,0,0,11351.0,0,0,0,0,0,1104022.0,231221.0,0
201607,0,0.0,0,18803.0,0,0,0,0,0,2334.0,0,0,83222.0,0,34988.0,4558.0,15303.0,21899.0,0,0,33476.0,332067.0,0,0.0,0,319021.0,0,0,0,0,0,0,11895.0,0,0,0,0,0,1090374.0,212808.0,0
201608,0,0.0,0,15961.0,0,0,0,0,0,2022.0,0,0,86627.0,0,37421.0,3779.0,17935.0,23894.0,0,0,23821.0,351605.0,0,0.0,0,338783.0,0,0,0,0,0,0,14381.0,0,0,0,0,0,1146260.0,230031.0,0
201609,0,0.0,0,9351.0,0,0,0,0,0,1504.0,0,0,70424.0,0,33850.0,5118.0,15831.0,21422.0,0,0,30430.0,297912.0,0,0.0,0,311397.0,0,0,0,0,0,0,10851.0,0,0,0,0,0,1008180.0,200090.0,0
201610,0,0.0,0,9462.0,0,0,0,0,0,1202.0,0,0,62450.0,0,28923.0,0.0,12593.0,17456.0,0,0,30293.0,267413.0,0,0.0,0,314446.0,0,0,0,0,0,0,9530.0,0,0,0,0,0,933557.0,179789.0,0
201611,0,0.0,0,4874.0,0,0,0,0,0,562.0,0,0,54537.0,0,17319.0,0.0,9827.0,13296.0,0,0,21967.0,238249.0,0,0.0,0,293213.0,0,0,0,0,0,0,6798.0,0,0,0,0,0,827880.0,167238.0,0
201612,0,0.0,0,4932.0,0,0,0,0,0,386.0,0,0,43742.0,0,11103.0,0.0,7851.0,9103.0,0,0,14231.0,208317.0,0,0.0,0,320379.0,0,0,0,0,0,0,5626.0,0,0,0,0,0,773503.0,147833.0,0
201701,0,0.0,0,2009.0,0,0,0,0,0,252.0,0,0,34002.0,0,8056.0,0.0,6493.0,7241.0,0,0,13838.0,219886.0,0,0.0,0,258036.0,0,0,0,0,0,0,4268.0,0,0,0,0,0,695319.0,141238.0,0
201702,0,0.0,0,0.0,0,0,0,0,0,224.0,0,0,40110.0,0,11176.0,0.0,6585.0,7886.0,0,0,14000.0,208401.0,0,0.0,0,231045.0,0,0,0,0,0,0,4597.0,0,0,0,0,0,661360.0,137336.0,0
201703,0,0.0,0,0.0,0,0,0,0,0,106.0,0,0,45175.0,0,10979.0,0.0,7496.0,8808.0,0,0,15854.0,238691.0,0,0.0,0,265068.0,0,0,0,0,0,0,5279.0,0,0,0,0,0,754365.0,156909.0,0
201704,0,0.0,21788.0,0.0,0,0,0,0,0,0.0,0,0,56563.0,0,24219.0,0.0,10133.0,15839.0,0,0,13284.0,258852.0,0,0.0,0,328397.0,0,0,0,0,0,0,9360.0,0,0,0,0,0,927367.0,188932.0,0
201705,0,0.0,24508.0,0.0,0,0,0,0,0,0.0,0,0,73964.0,0,36546.0,3514.0,13872.0,19077.0,0,0,30999.0,317789.0,0,0.0,0,302356.0,0,0,0,0,21923.0,0,10939.0,0,0,0,4631.0,0,1059741.0,199623.0,0
201706,0,0,30721.0,0.0,0,18475.0,0,0,0,0.0,0,56347.0,97967.0,0,0,7997.0,19839.0,28486.0,0,0,43823.0,378008.0,0,0.0,13403.0,332846.0,0,0,5856.0,0,36154.0,0,0,0,15545.0,0,12160.0,0,1324682.0,227055.0,0
201707,0,0,36047.0,0.0,0,24068.0,0,0,0,0.0,0,67057.0,106142.0,0,0,13766.0,19784.0,33877.0,0,0,41492.0,424493.0,0,0.0,10006.0,326552.0,0,0,7527.0,0,104230.0,0,0,0,13486.0,0,18264.0,0,1493587.0,246796.0,0
201708,1959.0,0,24264.0,3429.0,0,21777.0,0,0,0,0.0,0,69175.0,109004.0,0,0,11298.0,21321.0,35489.0,0,0,44704.0,457940.0,0,0.0,10263.0,340448.0,0,0,6822.0,0,52454.0,1513.0,0,0,16235.0,0,12890.0,0,1513465.0,272480.0,0
