Year,LIRR,MNR,PATH,NJT Rail,NJ Bus,Amtrak
2000,119580,99443,122385,52402,134378,13256
2001,118890,97619,91343,58064,137019,13286
2002,115730,96424,73166,65500,153030,15223
2003,111915,94151,63146,67925,152374,13749
2004,111090,93963,83833,54423,179408,15258
2005,111470,95838,89336,63198,181272,13829
2006,114260,98421,99703,72460,183782,13422
2007,114880,102020,106958,72263,186838,15450
2008,118210,103829,116576,72895,168368,15331
2009,112570,99866,111030,74220,190548,14124
2010,110940,100916,115934,73646,193768,14664
2011,110130,104198,115344,70795,187382,15538
2012,110510,104908,119334,70013,182407,16345
2013,112230,105509,116241,75305,191988,16722
2014,114250,106844,111310,79992,192349,17249
2015,115480,109174,122182,85949,214609,17652
2016,117150,109131,128822,94498,215478,17837
2017,117180,111982,132736,88361,219336,18830
2018,117710,112764,137310,89567,217485,18408
2019,119030,110703,140020,94873,212146,19855
2020,35270,17607,30939,18090,57543,3791
