Year,Weekday AM Peak (Manhattan),Weekday PM Peak (Manhattan),Saturday Midday (Manhattan),Weekday AM Peak (Other Boroughs),Weekday PM Peak (Other Boroughs),Saturday Midday (Other Boroughs)
2007,2051.83,3733.67,2595.28,646.37,1646.07,1942.54
2008,2007.90,3777.94,2690.06,673.13,1552.03,1771.87
2009,2111.33,3576.16,2356.13,647.17,1641.19,1716.83
2010,2170.75,3789.21,2467.06,707.86,1677.55,1887.55
2011,2158.29,3898.36,2653.86,724.44,1801.70,1908.69
2012,2292.75,3928.45,2876.13,741.96,1656.96,1915.34
2013,2214.93,3956.27,3014.54,788.86,1778.53,2053.19
2014,2337.50,3888.27,2612.57,802.10,1777.14,1838.66
2015,2312.08,4003.79,2642.17,778.57,1728.09,1856.61
2016,2343.08,4097.94,2860.83,803.57,1720.45,1876.84
2017,2448.86,4060.35,2732.74,841.11,1804.96,1858.10
2018,2347.29,3981.21,2904.51,802.41,1659.47,1803.46
2019*,2089.56,3522.81,2525.83,676.94,1837.49,1906.67
2020**,523.03,930.44,1181.64,358.10,1062.85,1332.33
2021*,864.00,1798.22,1432.97,431.17,1148.19,1153.56
