YearMonth,Total,Trucks,Buses
201101,20408730,,
201102,20176144,,
201103,23928232,,
201104,23593365,,
201105,25144889,,
201106,25289003,,
201107,25490788,,
201108,24253530,,
201109,23976096,,
201110,24135980,,
201111,23480109,,
201112,23697995,,
201201,21776550,,
201202,21280142,,
201203,23927645,,
201204,23651425,,
201205,25192764,,
201206,25233363,,
201207,24887622,,
201208,25669824,,
201209,23763047,,
201210,22963971,,
201211,20993843,,
201212,23412942,,
201301,22290223,,
201302,19831970,,
201303,23376021,,
201304,23638588,,
201305,25045252,,
201306,24738988,,
201307,24886530,,
201308,25636599,,
201309,23810071,,
201310,25036991,,
201311,23200297,,
201312,23035975,,
201401,20747317,,
201402,18701703,,
201403,23431567,,
201404,23834773,,
201405,25668919,,
201406,25374933,,
201407,25435425,,
201408,25951945,,
201409,24481160,,
201410,25189827,,
201411,23400720,,
201412,24198616,,
201501,20983289,,
201502,19983679,,
201503,23836645,,
201504,24825057,,
201505,26520622,,
201506,26140659,,
201507,26900933,,
201508,27179957,,
201509,25176781,,
201510,26221062,,
201511,24793552,,
201512,25398337,,
201601,22206860,,
201602,22379445,,
201603,25678007,,
201604,25460062,,
201605,27041559,,
201606,27281473,,
201607,27279840,,
201608,27620446,,
201609,26043256,,
201610,26022431,,
201611,25130058,,
201612,25273158,,
201701,23452652,,
201702,21620767,,
201703,24595618,,
201704,25354830,,
201705,26717750,,
201706,27133265,,
201707,27530620,,
201708,28271494,,
201709,26559138,,
201710,27068258,,
201711,25955869,,
201712,25737055,,
201801,23731837,,
201802,22742698,,
201803,25672596,,
201804,26519055,,
201805,28226943,,
201806,28546822,,
201807,28561622,,
201808,29280095,,
201809,27175132,,
201810,28301034,,
201811,26584637,,
201812,26946779,,
201901,25005762,,
201902,23532562,,
201903,27332093,,
201904,27419476,,
201905,29249471,,
201906,28792254,,
201907,28857383,1866789,147281
201908,29442733,1856001,153295
201909,27785633,1746900,142410
201910,28109963,1909166,157480
201911,26913543,1702440,140850
201912,26955736,1669877,146413
202001,25368494,1708224,149513
202002,24540667,1570524,138098
202003,18934838,1528145,144708
202004,9730391,1026060,91140
202005,14953991,1260305,81468
202006,20001850,1547760,137370
202007,23322086,1652145,150319
202008,24423978,1617704,140368
202009,24002326,1601850,140550
202010,24436257,1660081,143995
202011,21889990,1484160,130290
202012,21579179,1554805,137702
202101,21014689,1495905,136648
202102,18255540,1359008,124684
202103,24335609,1746075,147746
202104,24896430,1711200,136230
202105,26848094,1663646,131998
202106,27834962,1738380,136230
202107,28032430,1677534,134106
202108,28090122,1785724,135036
202109,27056983,1737450,128220
202110,28078500,1805378,130479
202111,26839397,1727520,127320
202112,26013482,1713587,131161
